image_path,web_page,url
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_0.jpg,https://www.flickr.com/,https://live.staticflickr.com/7347/10071025214_b5d257a90c_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_1.jpg,https://www.flickr.com/,https://live.staticflickr.com/7174/6693261209_d417b90bd6_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_2.jpg,https://www.flickr.com/,https://live.staticflickr.com/3717/9652079210_692cc00d19_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_3.jpg,https://www.flickr.com/,https://live.staticflickr.com/2298/2104240485_638313cda4_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_4.jpg,https://www.flickr.com/,https://live.staticflickr.com/2645/4141852218_7b7552331d_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_5.jpg,https://www.flickr.com/,https://live.staticflickr.com/5561/14207359689_3fefd25c8a_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_6.jpg,https://www.flickr.com/,https://live.staticflickr.com/2677/4211202436_9fb326af03_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_8.jpg,https://www.flickr.com/,https://live.staticflickr.com/7091/7166808394_2926b1bd52_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_9.jpg,https://www.flickr.com/,https://live.staticflickr.com/560/19118093070_2ea1e44882_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_11.jpg,https://www.flickr.com/,https://live.staticflickr.com/874/41100236791_7eac4bd571_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_12.jpg,https://www.flickr.com/,https://live.staticflickr.com/1869/29704394247_24d87683f2_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_13.jpg,https://www.flickr.com/,https://live.staticflickr.com/411/31954823662_d41e3eb87a_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_14.jpg,https://www.flickr.com/,https://live.staticflickr.com/553/19189122340_c292a6e9ff_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_15.jpg,https://www.flickr.com/,https://live.staticflickr.com/5828/21188603259_6d8757a8c3_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_16.jpg,https://www.flickr.com/,https://live.staticflickr.com/3867/15176941072_2b425b066c_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_17.jpg,https://www.flickr.com/,https://live.staticflickr.com/8616/16489040788_0c5b8fd68b_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_19.jpg,https://www.flickr.com/,https://live.staticflickr.com/5302/5728060903_6f646922c3_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_20.jpg,https://www.flickr.com/,https://live.staticflickr.com/3849/32138886874_03e9170685_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_21.jpg,https://www.flickr.com/,https://live.staticflickr.com/3629/3304776123_e2c50bd4af_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_22.jpg,https://www.flickr.com/,https://live.staticflickr.com/5086/5260454048_e497c21d2d_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_23.jpg,https://www.flickr.com/,https://live.staticflickr.com/2176/2065399134_8dc9afdd8b_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_24.jpg,https://www.flickr.com/,https://live.staticflickr.com/8755/16966100201_d5e59a9017_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_26.jpg,https://www.flickr.com/,https://live.staticflickr.com/5817/21186087515_bab493c537_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_27.jpg,https://www.flickr.com/,https://live.staticflickr.com/875/40683841924_5827697eb9_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_28.jpg,https://www.flickr.com/,https://live.staticflickr.com/8209/8209158875_8848680636_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_29.jpg,https://www.flickr.com/,https://live.staticflickr.com/5451/17222408640_b6ebc61365_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_30.jpg,https://www.flickr.com/,https://live.staticflickr.com/5065/5614157667_97004dd350_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_31.jpg,https://www.flickr.com/,https://live.staticflickr.com/3479/3193344022_655638b567_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_32.jpg,https://www.flickr.com/,https://live.staticflickr.com/4308/35873259375_4c3b764781_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_33.jpg,https://www.flickr.com/,https://live.staticflickr.com/4127/5032689894_ba089c7585_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_35.jpg,https://www.flickr.com/,https://live.staticflickr.com/1191/546111525_1b760b6f1b_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_36.jpg,https://www.flickr.com/,https://live.staticflickr.com/7301/16371458731_3d9ff9997e_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_37.jpg,https://www.flickr.com/,https://live.staticflickr.com/7290/16742398835_e04550be80_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_38.jpg,https://www.flickr.com/,https://live.staticflickr.com/709/22068911513_323d0da0d3_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_39.jpg,https://www.flickr.com/,https://live.staticflickr.com/7245/7308346142_86378474bb_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_40.jpg,https://www.flickr.com/,https://live.staticflickr.com/4839/44191557260_0191566635_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_41.jpg,https://www.flickr.com/,https://live.staticflickr.com/8006/28877850301_1fe09d9ac0_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_42.jpg,https://www.flickr.com/,https://live.staticflickr.com/868/26165302797_5b0365ee55_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_43.jpg,https://www.flickr.com/,https://live.staticflickr.com/4187/34776799945_4c20fce4df_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_44.jpg,https://www.flickr.com/,https://live.staticflickr.com/65535/33933471018_93157f4231_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_45.jpg,https://www.flickr.com/,https://live.staticflickr.com/8616/30348206151_59e2da21ac_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_46.jpg,https://www.flickr.com/,https://live.staticflickr.com/2896/14113698848_333bb52996_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_47.jpg,https://www.flickr.com/,https://live.staticflickr.com/4514/37841249141_cbc664e392_c.jpg
